16,500,|,49.581453800201416,|,4446728.0
19,500,|,56.7440767288208,|,4442342.0
12,500,|,70.58536338806152,|,4441868.0
18,500,|,71.97180557250977,|,4443881.0
12,500,|,72.97114729881287,|,4441868.0
18,500,|,73.13131332397461,|,4443881.0
9,500,|,78.57510948181152,|,4446685.0
16,500,|,77.18321657180786,|,4446728.0
14,500,|,80.54579019546509,|,4446320.0
14,500,|,76.57074785232544,|,4446320.0
12,500,|,71.60034775733948,|,4441868.0
10,500,|,68.34260773658752,|,4446629.0
12,500,|,71.72579288482666,|,4441868.0
4,500,|,77.82269215583801,|,4447725.0
2,500,|,74.96943593025208,|,4444758.0
7,500,|,70.79587507247925,|,4450173.0
10,500,|,57.69414925575256,|,4446629.0
15,500,|,73.16110587120056,|,4446408.0
8,500,|,79.6505856513977,|,4447799.0
12,500,|,76.37935066223145,|,4441868.0
12,500,|,72.25080394744873,|,4441868.0
5,500,|,56.898736238479614,|,4445184.0
1,500,|,70.88335180282593,|,4444973.0
5,500,|,69.12104034423828,|,4445184.0
17,500,|,73.28886866569519,|,4446666.0
0,500,|,72.65043449401855,|,4443750.0
6,500,|,57.550039768218994,|,4442304.0
13,500,|,74.91783213615417,|,4441979.0
17,500,|,78.70589280128479,|,4446666.0
4,500,|,78.08710026741028,|,4447725.0
14,500,|,76.08247923851013,|,4446320.0
3,500,|,75.3061420917511,|,4443992.0
2,500,|,74.22831964492798,|,4444758.0
18,500,|,78.80669093132019,|,4443881.0
9,500,|,75.84765696525574,|,4446685.0
18,500,|,76.17593789100647,|,4443881.0
4,500,|,74.20485782623291,|,4447725.0
17,500,|,72.75068402290344,|,4446666.0
0,500,|,72.70055794715881,|,4443750.0
5,500,|,69.65055656433105,|,4445184.0
0,500,|,50.23737144470215,|,4443750.0
7,500,|,72.06513261795044,|,4450173.0
19,500,|,72.51908802986145,|,4442342.0
18,500,|,72.64831709861755,|,4443881.0
13,500,|,71.65572881698608,|,4441979.0
12,500,|,58.391093254089355,|,4441868.0
3,500,|,71.14007377624512,|,4443992.0
0,500,|,72.93153429031372,|,4443750.0
6,500,|,73.32912588119507,|,4442304.0
9,500,|,73.10853433609009,|,4446685.0
1,500,|,72.32029914855957,|,4444973.0
0,500,|,56.15713453292847,|,4443750.0
15,500,|,73.88639736175537,|,4446408.0
6,500,|,79.19507694244385,|,4442304.0
19,500,|,76.62504982948303,|,4442342.0
16,500,|,80.83083772659302,|,4446728.0
8,500,|,76.94405937194824,|,4447799.0
13,500,|,73.36735653877258,|,4441979.0
9,500,|,75.24864220619202,|,4446685.0
10,500,|,75.04172110557556,|,4446629.0
0,500,|,73.70608711242676,|,4443750.0
17,500,|,57.66997003555298,|,4446666.0
16,500,|,75.08318591117859,|,4446728.0
7,500,|,79.24925756454468,|,4450173.0
18,500,|,76.5350251197815,|,4443881.0
5,500,|,76.02865672111511,|,4445184.0
3,500,|,59.00259351730347,|,4443992.0
17,500,|,72.86638450622559,|,4446666.0
8,500,|,73.80015563964844,|,4447799.0
13,500,|,77.92238998413086,|,4441979.0
10,500,|,77.18890309333801,|,4446629.0
16,500,|,78.37952089309692,|,4446728.0
14,500,|,77.10139918327332,|,4446320.0
15,500,|,77.05569052696228,|,4446408.0
13,500,|,74.12624788284302,|,4441979.0
10,500,|,74.18900775909424,|,4446629.0
6,500,|,68.63258051872253,|,4442304.0
15,500,|,74.012521982193,|,4446408.0
15,500,|,73.07796502113342,|,4446408.0
1,500,|,57.597127199172974,|,4444973.0
8,500,|,71.67222046852112,|,4447799.0
17,500,|,59.075013399124146,|,4446666.0
12,500,|,73.08748388290405,|,4441868.0
11,500,|,80.94457769393921,|,4443499.0
11,500,|,77.53815364837646,|,4443499.0
