14,500,|,160.2523491382599,|,47795277.0
12,500,|,199.00589776039124,|,48501747.0
6,500,|,198.7369258403778,|,48058728.0
7,500,|,161.7797303199768,|,48427482.0
15,500,|,199.37270522117615,|,48281862.0
6,500,|,206.1160750389099,|,48058728.0
13,500,|,201.5369849205017,|,48115354.0
8,500,|,203.90779066085815,|,48447757.0
3,500,|,205.06726598739624,|,48407830.0
19,500,|,172.04431080818176,|,48500788.0
19,500,|,199.59759736061096,|,48500788.0
11,500,|,197.80545210838318,|,48347187.0
13,500,|,161.87688851356506,|,48115354.0
10,500,|,199.0947904586792,|,47997674.0
16,500,|,207.1393973827362,|,48209828.0
6,500,|,202.74549770355225,|,48058728.0
13,500,|,201.9378845691681,|,48115354.0
1,500,|,163.103036403656,|,48692364.0
0,500,|,198.22344636917114,|,48667469.0
18,500,|,200.96876335144043,|,47941569.0
12,500,|,203.8317666053772,|,48501747.0
1,500,|,202.07738280296326,|,48692364.0
7,500,|,205.21662831306458,|,48427482.0
