10,50,30,1514,|,2552.237114906311,4.090879917144775,11.391171216964722,4.571369171142578,|,8804.0,8804.0,8804.0,5712.0
10,50,3,1592,|,2793.3540828227997,4.591563940048218,12.209537982940674,5.185312747955322,|,12000.0,12000.0,12000.0,6266.0
10,50,11,1864,|,3512.021308660507,5.803840637207031,13.427340507507324,6.685320138931274,|,11137.0,11137.0,11137.0,6103.0
10,50,42,1910,|,3600.3791472911835,6.897409200668335,14.48398733139038,7.772379636764526,|,17080.0,17080.0,17080.0,7227.0
10,50,24,1911,|,3717.153270483017,4.5345258712768555,13.341627836227417,5.38949728012085,|,10612.0,10612.0,10612.0,6438.0
10,50,35,1663,|,3255.127926826477,5.110783576965332,13.332791566848755,5.858932971954346,|,12253.0,12253.0,12253.0,6663.0
10,50,21,1891,|,3570.233330011368,5.507320404052734,x,6.053288698196411,|,13624.0,13624.0,x,7006.0
10,50,28,1699,|,3196.6865730285645,7.031086206436157,x,7.897124290466309,|,19296.0,19296.0,x,7081.0
10,50,31,1581,|,2841.548143386841,4.612837553024292,x,5.3790953159332275,|,12541.0,12541.0,x,6540.0
10,50,20,15000,|,86287.33796358109,306.4619629383087,x,356.19661235809326,|,29063.0,29063.0,x,18923.0
10,50,33,1794,|,3210.134534597397,7.9950902462005615,x,8.995977878570557,|,21527.0,21527.0,x,6870.0
10,50,12,1750,|,3336.0622799396515,4.872552156448364,x,5.575207233428955,|,11167.0,11167.0,x,6616.0
10,50,1,4726,|,11310.755012989044,12.868918180465698,x,15.981483697891235,|,15345.0,15345.0,x,9195.0
10,50,27,2868,|,9104.618478775024,15.21253252029419,x,16.692002534866333,|,24983.0,24983.0,x,8285.0
10,50,5,15000,|,180354.33961367607,749.6863718032837,x,763.4590978622437,|,19134.0,19134.0,x,17087.0
10,50,23,1571,|,2852.2738103866577,7.1275694370269775,x,7.364716529846191,|,15854.0,15854.0,x,6496.0
10,50,4,1944,|,4158.115432500839,5.400045871734619,x,6.386149168014526,|,12131.0,12131.0,x,6508.0
10,50,41,1572,|,2860.8793392181396,4.687379360198975,x,5.167698860168457,|,9997.0,9997.0,x,6257.0
