,,,,,,,,SAGE vs ADG ,MAGE vs ADG,,,,Mage Comms/SAGE Comms
10,10,29.01695,1563.186,,4170.761,17.23348,20.86303,242.0150196,199.9115661,,4561.068,2557.881,1.783143156
10,20,29.5,1359.583,,2542.906,9.490319,11.3431,267.9473683,224.1808677,,5983.567,3260.2,1.835337403
10,25,29.5,1549.133,,2476.164,7.158093,9.195642,345.9250949,269.2758157,,7352.483,3912.817,1.879076635
10,50,29.5,3846.517,,15500.17,42.61189,49.21918,363.7522297,314.9213376,,15862.63,8405.683,1.887131599
10,100,29.5,4995.633,,26621.78,51.88016,61.87094,513.1398978,430.2792232,,28743,14045.72,2.046388508
20,10,29.67797,1373.441,,5957.829,10.94764,25.56317,544.2112638,233.0629965,,12711.75,4213.593,3.016843345
20,20,29.5,2034.767,,23916.36,41.73628,55.80705,573.0352585,428.5544568,,23860.35,7434.633,3.209351423
20,25,29.5,1967.95,,16051.98,24.23326,33.60896,662.3945767,477.6101373,,29215.5,8654.433,3.37578441
20,50,28.5,3617.038,,45778,51.02272,69.54824,897.2081457,658.2193884,,54688.38,16521.31,3.310172135
20,100,29.5,6453.183,,139208,123.389,175.7475,1128.204297,792.0909259,,103468.7,31529.3,3.281668163
30,10,29.5,2731.917,,34334.92,46.16082,135.7948,743.8108768,252.8441443,,33167.87,7773.067,4.267024844
30,20,29.5,3176.65,,59532.34,67.07225,134.5431,887.5852532,442.477838,,65481.75,12729.03,5.144284364
30,25,29.94915,3461.458,,62446.41,62.64347,123.1006,996.8542611,507.2794934,,76685.61,15310.69,5.008631877
30,50,28.82759,5253.517,,186122.7,147.6081,247.8009,1260.924705,751.0977563,,143026.9,27856.07,5.134496718
30,100,24.41935,8876.677,,475025.7,268.4847,495.9977,1769.28406,957.7175459,,258935.3,52988.32,4.886648605
40,10,29.5,1690.183,,27983.08,33.42799,110.9301,837.1152438,252.2586746,,61579.17,9079.083,6.782531892
40,20,29.44068,2439.119,,72124.55,60.56932,118.6623,1190.776948,607.8135179,,113935.6,16232.19,7.019114488
40,25,32.09434,3462.321,,95769.02,71.14907,175.6057,1346.033335,545.3639603,,136014.2,20512.7,6.630731206
40,50,25.48571,5135.143,,322997.6,201.0696,364.2896,1606.396989,886.6506208,,262570.1,37897.46,6.928435309
40,100,22.78261,7946.826,,819503.9,382.8883,672.6106,2140.321081,1218.392782,,481100.1,71819.22,6.698765317
