NUM_AGENTS,PercentSpaceEmpty,|,SAGE_TIME,FORTED_TIME,MAGE_TIME,ADG_Time,ADG_Comms,SAGE_Comms,FORTED_Comms,MAGE_Comms
10,0.375,|,0.0007657361031,0.0005326604843,0.0008779621124,0.01160063505,36.6,36.6,21.59,19.33
20,0.4444444444,|,0.001939446926,0.001363532543,0.002345173359,0.09711120844,210.99,210.99,79.61,71.82
30,0.387755102,|,0.004221003056,0.003397333622,0.005419473648,0.4221251988,470.05,470.05,156.86,139.53
40,0.375,|,0.007277643681,0.004929304123,0.01106696844,1.018309631,890.38,890.38,254.37,225.09
50,0.3827160494,|,0.01123150826,0.008242292404,0.01666892529,2.177413225,1417.93,1417.93,362.49,321.83
60,0.4,|,0.01601239681,0.01114860773,0.02492046595,3.801965156,2661.52,2661.52,521.8,476.5
70,0.3,|,0.0201795435,0.01582946539,0.03861454248,6.744492223,3585.84,3585.84,664.83,603.1
80,0.3388429752,|,0.02629007578,0.01897357941,0.06643013716,11.00632576,4569.87,4569.87,819.54,737.29
90,0.375,|,0.03332318068,0.02169358969,0.08985645056,15.28319754,5371.29,5371.29,971.39,869.55
100,0.3055555556,|,0.03732604742,0.02499115705,0.1137310314,20.28748026,7432.56,7432.56,1164.96,1060.74
110,0.349112426,|,0.04529469013,0.03348642588,0.1466002369,28.63496154,8653.75,8653.75,1352.42,1220.57
120,0.387755102,|,0.05334354162,0.03248176813,0.1843360782,37.47160579,9713.2,9713.2,1528.19,1372.64
130,0.3367346939,|,0.06226616859,0.04061618567,0.2292591381,49.87842514,12904.69,12904.69,1785.92,1620.17
140,0.3777777778,|,0.06832028389,0.04341763258,0.2585547423,57.54785696,13745.51,13745.51,1974.34,1782.47
150,0.3333333333,|,0.07752653837,0.04712496758,0.3175129652,72.71999951,17262.11,17262.11,2230,2030.64
160,0.375,|,0.09192655325,0.0565368247,0.4289837456,104.5618445,18900.8,18900.8,2462.32,2218.05
170,0.3359375,|,0.09591899633,0.06393573523,0.4642154598,115.8469457,22115.6,22115.6,2687.31,2448.23
180,0.3771626298,|,0.1069933152,0.07289420366,0.582507627,150.2894919,23570.53,23570.53,2928.43,2644.88
