NUM_AGENTS,PercentSpaceEmpty,|,CPP_OriginalADG_Time,CPP_SAGE_Time,CPP_FORTED_Time,CPP_MAGE_FORTED_Time,CPP_MAGE_SAGE_Time,|,CPP_OriginalADG_Comms,CPP_SAGE_Comms,CPP_FORTED_Comms,CPP_MAGE_FORTED_Comms,CPP_MAGE_SAGE_Comms
10,0.6,|,0.00037413835525512695,7.225573062896729e-05,5.529820919036865e-05,0.00017890334129333496,8.536875247955322e-05,|,33.6875,33.6875,20.1875,18.1875,18.1875
20,0.4444444444444444,|,0.00033023953437805176,0.0001785755157470703,0.0001307278871536255,0.00021503865718841553,0.00026015937328338623,|,146.4375,146.4375,64.4375,59.5625,59.5625
30,0.53125,|,0.0010562688112258911,0.00033746659755706787,0.00024031102657318115,0.0005407184362411499,0.0006202161312103271,|,342.3125,342.3125,133.8125,121.3125,121.3125
40,0.5061728395061729,|,0.0023854970932006836,0.0005320757627487183,0.0003678053617477417,0.0010178983211517334,0.0012091100215911865,|,590.3125,590.3125,207.1875,190.75,190.75
50,0.5,|,0.004839882254600525,0.0007186532020568848,0.0004905611276626587,0.0020035356283187866,0.002287060022354126,|,1040.9375,1040.9375,317.5,291.4375,291.4375
60,0.4,|,0.00719858705997467,0.0009534060955047607,0.0006067752838134766,0.0029765963554382324,0.0034241080284118652,|,1722.4375,1722.4375,446.1875,419.0,419.0
70,0.42148760330578516,|,0.01484401524066925,0.0012840628623962402,0.0007682591676712036,0.004527226090431213,0.004996493458747864,|,2283.125,2283.125,569.3125,532.0,532.0
80,0.4444444444444444,|,0.02411477267742157,0.0015153288841247559,0.000935867428779602,0.0073063671588897705,0.007632657885551453,|,2874.8125,2874.8125,688.125,640.6875,640.6875
90,0.4674556213017751,|,0.03404080867767334,0.001812085509300232,0.0010534971952438354,0.010965749621391296,0.011753708124160767,|,3842.75,3842.75,868.4375,806.0625,806.0625
100,0.40828402366863903,|,0.046122774481773376,0.002322763204574585,0.0011986494064331055,0.013231426477432251,0.014257416129112244,|,4975.9375,4975.9375,1027.0,965.0625,965.0625
110,0.4387755102040817,|,0.07515902817249298,0.0027966350317001343,0.001462295651435852,0.020346760749816895,0.02202974259853363,|,5827.875,5827.875,1187.3125,1103.0625,1103.0625
120,0.4666666666666667,|,0.08624954521656036,0.0028768032789230347,0.0015729516744613647,0.02540244162082672,0.027112796902656555,|,6524.125,6524.125,1333.5625,1237.3125,1237.3125
130,0.4222222222222223,|,0.12951256334781647,0.003565683960914612,0.0017881989479064941,0.03416481614112854,0.03676414489746094,|,8461.5,8461.5,1565.9375,1464.25,1464.25
